Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2017-02-01 00:00:00,25,30.8,26.2,86,4,5.3,6,315,4,NW
2017-02-02 00:00:00,23.8,29.2,25.7,87,24,0.8,5,315,3,NW
2017-02-03 00:00:00,23,30.2,26.1,85,17,2.3,5,315,3,NW
2017-02-04 00:00:00,23.2,30.8,27.4,82,23,4.2,7,315,4,NW
2017-02-05 00:00:00,24.2,31.2,27.3,84,11,5.7,5,315,4,NW
2017-02-06 00:00:00,25,31,27.7,82,0,5.7,8,315,5,NW
2017-02-07 00:00:00,23.8,31,27.9,78,37,5.2,9,270,6,W 
2017-02-08 00:00:00,24.6,30.6,21.2,76,17,4.9,10,270,6,W 
2017-02-09 00:00:00,23.2,28.4,25.8,89,22,0,8,315,1,NW
2017-02-10 00:00:00,23.2,28.4,25.8,89,22,0,8,315,4,W 
2017-02-11 00:00:00,23,26.8,25.1,95,36,0,3,315,8,NW
2017-02-12 00:00:00,24,27.4,24.9,96,16,0.7,6,315,3,NW
2017-02-13 00:00:00,23.8,30.4,26.4,91,15,4.8,6,315,2,NW
2017-02-14 00:00:00,24.4,29.8,26.7,86,18,5.7,6,315,4,NW
2017-02-15 00:00:00,24.4,30.2,26.6,87,20.5,4.9,8,315,3,NW
2017-02-16 00:00:00,24,30.4,26.7,88,23,3.3,10,315,3,NW
2017-02-17 00:00:00,25,30.8,27.2,86,0,4.6,4,270,2,W 
2017-02-18 00:00:00,25.2,30.6,27.2,87,1,6.3,9,370,3,W 
2017-02-19 00:00:00,24.8,30.8,26.5,87,0.666666666666667,6.4,5,360,3,N 
2017-02-20 00:00:00,25.6,31.2,27.8,85,0.333333333333333,6.3,4,315,3,N 
2017-02-21 00:00:00,25.6,31.2,26.8,86,0,4.1,5,315,3,N 
2017-02-22 00:00:00,24.8,31.6,27,83,0,5.7,5,315,2,N 
2017-02-23 00:00:00,23.8,32.4,27.5,82,62,7.2,6,270,4,W 
2017-02-24 00:00:00,25.4,31,27.6,86,2,6,4,360,3,N 
2017-02-25 00:00:00,25.2,30.6,27.1,86,2,4,4,315,3,NW
2017-02-26 00:00:00,23.7,31.4,27.2,83,43,4.9,3,315,2,NW
2017-02-27 00:00:00,23.8,30.6,27.6,81,9,4.6,6,315,2,N 
2017-02-28 00:00:00,25.2,31,27.9,81,0,5.4,3,360,0,N 
2017-03-01 00:00:00,24.8,30.8,27.6,86,33,5.9,4,315,2,NW
2017-03-02 00:00:00,24.6,31.2,27.4,82,20,7.1,6,315,3,NW
2017-03-03 00:00:00,25,31.4,27.9,83,0,6.1,3,270,2,N 
2017-03-04 00:00:00,25,31.2,28.2,80,7,5.9,4,360,2,N 
2017-03-05 00:00:00,25.4,32,28.1,81,0,4.4,6,350,2,N 
2017-03-06 00:00:00,24.4,31,27.3,84,5,1.5,5,300,2,N 
2017-03-07 00:00:00,24.8,30.6,26.6,86,3.2,1.5,4,330,2,N 
2017-03-08 00:00:00,24.8,31,27.8,77,20,0,3,360,1,N 
2017-03-09 00:00:00,26,31,26.9,85,0,8.8,4,200,2,N 
2017-03-10 00:00:00,23.6,31.6,27.7,79,15.5,3.7,4,340,2,N 
2017-03-11 00:00:00,25.6,31.2,28.1,80,0,9.2,5,340,2,N 
2017-03-12 00:00:00,25.8,31,27.8,85,1.4,7.2,6,340,1,N 
2017-03-13 00:00:00,24.4,31.2,27,86,17.1,6.3,5,340,1,N 
2017-03-14 00:00:00,24,30.6,27.1,86,16.2,4.5,3,340,1,N 
2017-03-15 00:00:00,24,31.4,27.6,79,3.6,6.1,5,360,3,N 
2017-03-16 00:00:00,23.6,31.6,27.7,83,40.3,8.9,5,360,1,N 
2017-03-17 00:00:00,25.2,32.4,28.4,77,0,7.5,6,340,2,N 
2017-03-18 00:00:00,25.6,31,28.1,79,0,2.1,4,220,2,N 
2017-03-19 00:00:00,25.4,30.4,27.6,82,0,2.9,4,360,2,N 
2017-03-20 00:00:00,25.6,31.6,27.8,84,0,3.6,5,330,2,NW
2017-03-21 00:00:00,26,30.4,27.7,81,0,7.1,5,290,4,W 
2017-03-22 00:00:00,24.6,31.2,27.4,80,0,1.3,4,280,2,W 
2017-03-23 00:00:00,23.4,32.2,28.5,79,0,1.3,4,300,1,N 
2017-03-24 00:00:00,25.6,31.4,28.1,80,0,4.4,4,320,2,N 
2017-03-25 00:00:00,25.8,31.2,28.3,82,0,7.5,4,360,2,N 
2017-03-26 00:00:00,25.2,28.6,27,87,0,7.5,5,340,1,N 
2017-03-27 00:00:00,25.4,31.4,27.6,81,8.8,0,5,20,2,N 
2017-03-28 00:00:00,25.8,31.2,27.7,84,0,7.3,5,340,2,N 
2017-03-29 00:00:00,25.2,30.6,27.9,84,21.8,7.7,4,350,1,N 
2017-03-30 00:00:00,24.6,31.2,28.2,81,0,4.6,5,350,2,N 
2017-03-31 00:00:00,23.6,30.5,28,83,1,4.3,4,360,2,N 
2017-04-01 00:00:00,25,31.8,27.6,83,0,4.3,5,360,1,N 
2017-04-02 00:00:00,26,30.6,28.2,83,0.5,8.1,4,200,2,N 
2017-04-03 00:00:00,25.4,30.8,25.7,91,0,3.5,9,100,2,N 
2017-04-04 00:00:00,23.4,30.6,26.8,83,58,6.1,5,10,1,N 
2017-04-05 00:00:00,24.8,31.2,27.9,80,0,8,7,340,3,N 
2017-04-06 00:00:00,24.8,30.2,27.5,87,2,0.6,4,315,3,NW
2017-04-07 00:00:00,25.2,30.2,27.8,84,6,2.5,3,315,2,NW
2017-04-08 00:00:00,25.2,32.4,26.9,83,0,0,3,315,2,N 
2017-04-09 00:00:00,25.2,32.4,27.4,86,0,4.7,3,360,2,N 
2017-04-10 00:00:00,25.4,31.8,28.2,82,17,5.4,6,315,2,NW
2017-04-11 00:00:00,25.6,31.4,27.6,87,2,3.6,4,315,3,NW
2017-04-12 00:00:00,26,33.4,29,76,4,6,3,90,2,E 
2017-04-13 00:00:00,26,32.6,27.6,86,6,6.9,5,315,2,NW
2017-04-14 00:00:00,24.2,30.4,27.6,88,54,3.4,3,315,3,NW
2017-04-15 00:00:00,25.2,33.2,28.4,79,0,7.5,6,360,2,N 
2017-04-16 00:00:00,25,32.2,28.1,78,0,8,4,360,2,N 
2017-04-17 00:00:00,26,31.6,28.6,86,2,7,5,360,2,N 
2017-04-18 00:00:00,25.6,32,28.4,86,7,7.4,4,360,3,N 
2017-04-19 00:00:00,26.2,31.6,27.9,83,0,3.1,5,360,2,N 
2017-04-20 00:00:00,24.4,33.2,28.7,79,0,7.8,6,315,3,NW
2017-04-21 00:00:00,25.8,32.8,28.9,78,16,5.7,7,90,3,SW
2017-04-22 00:00:00,25,32.6,28.8,80,3,7.4,4,315,3,NW
2017-04-23 00:00:00,25,31.8,28,84,0,4.9,3,360,2,N 
2017-04-24 00:00:00,25.2,32.2,28.4,80,0,6,4,360,2,N 
2017-04-25 00:00:00,26.2,32.8,29.5,78,0,8,6,360,3,N 
2017-04-26 00:00:00,26.2,32.2,28.7,80,0,5.4,5,315,2,NW
2017-04-27 00:00:00,25.6,32,28.3,81,0,6.5,5,315,3,NE
